Store,Date,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday,Sales,Store Size
1,2/5/10,42.31,2.572,211.0963582,8.106,0,"$1,643,690.90 ",151315
1,2/12/10,38.51,2.548,211.2421698,8.106,1,"$1,641,094.44 ",151315
1,2/19/10,39.93,2.514,211.2891429,8.106,0,"$1,612,133.17 ",151315
1,2/26/10,46.63,2.561,211.3196429,8.106,0,"$1,409,741.59 ",151315
1,3/5/10,46.5,2.625,211.3501429,8.106,0,"$1,554,736.68 ",151315
1,3/12/10,57.79,2.667,211.3806429,8.106,0,"$1,440,299.59 ",151315
1,3/19/10,54.58,2.72,211.215635,8.106,0,"$1,472,535.79 ",151315
1,3/26/10,51.45,2.732,211.0180424,8.106,0,"$1,404,518.92 ",151315
1,4/2/10,62.27,2.719,210.8204499,7.808,0,"$1,594,968.28 ",151315
1,4/9/10,65.86,2.77,210.6228574,7.808,0,"$1,545,106.53 ",151315
1,4/16/10,66.32,2.808,210.4887,7.808,0,"$1,465,848.28 ",151315
1,4/23/10,64.84,2.795,210.4391228,7.808,0,"$1,391,454.12 ",151315
1,4/30/10,67.41,2.78,210.3895456,7.808,0,"$1,425,101.21 ",151315
1,5/7/10,72.55,2.835,210.3399684,7.808,0,"$1,603,947.22 ",151315
1,5/14/10,74.78,2.854,210.3374261,7.808,0,"$1,493,753.15 ",151315
1,5/21/10,76.44,2.826,210.6170934,7.808,0,"$1,399,806.07 ",151315
1,5/28/10,80.44,2.759,210.8967606,7.808,0,"$1,432,051.95 ",151315
1,6/4/10,80.69,2.705,211.1764278,7.808,0,"$1,616,047.61 ",151315
1,6/11/10,80.43,2.668,211.4560951,7.808,0,"$1,542,465.94 ",151315
1,6/18/10,84.11,2.637,211.4537719,7.808,0,"$1,505,233.65 ",151315
1,6/25/10,84.34,2.653,211.3386526,7.808,0,"$1,426,163.20 ",151315
1,7/2/10,80.91,2.669,211.2235333,7.787,0,"$1,490,898.93 ",151315
1,7/9/10,80.48,2.642,211.108414,7.787,0,"$1,517,461.75 ",151315
1,7/16/10,83.15,2.623,211.1003854,7.787,0,"$1,424,019.65 ",151315
1,7/23/10,83.36,2.608,211.2351443,7.787,0,"$1,362,128.44 ",151315
1,7/30/10,81.84,2.64,211.3699032,7.787,0,"$1,363,095.37 ",151315
1,8/6/10,87.16,2.627,211.5046621,7.787,0,"$1,587,751.66 ",151315
1,8/13/10,87,2.692,211.6394211,7.787,0,"$1,488,866.05 ",151315
1,8/20/10,86.65,2.664,211.6033633,7.787,0,"$1,500,594.56 ",151315
1,8/27/10,85.22,2.619,211.5673056,7.787,0,"$1,457,608.01 ",151315
1,9/3/10,81.21,2.577,211.5312479,7.787,0,"$1,566,064.71 ",151315
1,9/10/10,78.69,2.565,211.4951902,7.787,1,"$1,523,287.31 ",151315
1,9/17/10,82.11,2.582,211.5224596,7.787,0,"$1,439,303.25 ",151315
1,9/24/10,80.94,2.624,211.5972246,7.787,0,"$1,347,230.78 ",151315
1,10/1/10,71.89,2.603,211.6719895,7.838,0,"$1,446,196.40 ",151315
1,10/8/10,63.93,2.633,211.7467544,7.838,0,"$1,486,872.60 ",151315
1,10/15/10,67.18,2.72,211.8137436,7.838,0,"$1,426,807.32 ",151315
1,10/22/10,69.86,2.725,211.8612937,7.838,0,"$1,311,622.24 ",151315
1,10/29/10,69.64,2.716,211.9088438,7.838,0,"$1,341,394.14 ",151315
1,11/5/10,58.74,2.689,211.9563939,7.838,0,"$1,518,748.91 ",151315
1,11/12/10,59.61,2.728,212.003944,7.838,0,"$1,475,032.05 ",151315
1,11/19/10,51.41,2.771,211.8896737,7.838,0,"$1,468,511.42 ",151315
1,11/26/10,64.52,2.735,211.7484333,7.838,1,"$1,889,932.54 ",151315
1,12/3/10,49.27,2.708,211.607193,7.838,0,"$1,473,350.39 ",151315
1,12/10/10,46.33,2.843,211.4659526,7.838,0,"$1,609,718.47 ",151315
1,12/17/10,49.84,2.869,211.4053124,7.838,0,"$1,831,969.17 ",151315
1,12/24/10,52.33,2.886,211.4051222,7.838,0,"$2,334,355.02 ",151315
1,12/31/10,48.43,2.943,211.4049321,7.838,1,"$1,320,876.06 ",151315
1,1/7/11,48.27,2.976,211.4047419,7.742,0,"$1,424,802.28 ",151315
1,1/14/11,35.4,2.983,211.4574109,7.742,0,"$1,377,505.51 ",151315
1,1/21/11,44.04,3.016,211.8272343,7.742,0,"$1,319,496.80 ",151315
1,1/28/11,43.83,3.01,212.1970577,7.742,0,"$1,299,027.87 ",151315
1,2/4/11,42.27,2.989,212.5668812,7.742,0,"$1,577,604.10 ",151315
1,2/11/11,36.39,3.022,212.9367046,7.742,1,"$1,608,574.27 ",151315
1,2/18/11,57.36,3.045,213.2478853,7.742,0,"$1,637,831.55 ",151315
1,2/25/11,62.9,3.065,213.535609,7.742,0,"$1,430,387.12 ",151315
1,3/4/11,59.58,3.288,213.8233327,7.742,0,"$1,609,073.63 ",151315
1,3/11/11,53.56,3.459,214.1110564,7.742,0,"$1,527,636.21 ",151315
1,3/18/11,62.76,3.488,214.3627114,7.742,0,"$1,547,845.25 ",151315
1,3/25/11,69.97,3.473,214.5999389,7.742,0,"$1,499,307.51 ",151315
1,4/1/11,59.17,3.524,214.8371664,7.682,0,"$1,466,441.26 ",151315
1,4/8/11,67.84,3.622,215.0743939,7.682,0,"$1,578,966.09 ",151315
1,4/15/11,71.27,3.743,215.2918561,7.682,0,"$1,526,108.70 ",151315
1,4/22/11,72.99,3.807,215.4599053,7.682,0,"$1,521,204.08 ",151315
1,4/29/11,72.03,3.81,215.6279544,7.682,0,"$1,422,352.90 ",151315
1,5/6/11,64.61,3.906,215.7960035,7.682,0,"$1,600,516.56 ",151315
1,5/13/11,75.64,3.899,215.9640526,7.682,0,"$1,580,879.94 ",151315
